OBJECTID;IN_FID;NEAR_FID;NEAR_DIST;NEAR_RANK;FROM_X;FROM_Y;NEAR_X;NEAR_Y
;3166;3252;0,117071085032025;1;-485153,983237691860000;-1116120,189569670200000;-485153,867343230520000;-1116120,173013318600000
;3167;3254;0,172753192018811;1;-485153,679876488630000;-1116121,314011909300000;-485153,518246917870000;-1116121,375000000000000
;3168;3254;0,141039213573094;1;-485153,659286131440000;-1116121,375000000000000;-485153,518246917870000;-1116121,375000000000000
;3169;3254;0,136606810245545;1;-485153,651998483520000;-1116121,402783795500000;-485153,518246917870000;-1116121,375000000000000
;3170;3256;0,119382104315959;1;-485153,082156419810000;-1116122,943816757300000;-485152,976819268950000;-1116122,887636943500000
;3171;3257;0,226996046028148;1;-485152,441052734500000;-1116124,988139444000000;-485152,270957994920000;-1116125,138455725500000
;3172;3258;0,135062933439819;1;-485152,233660935370000;-1116125,841477434400000;-485152,098717566350000;-1116125,847159260400000
;3173;3259;0,151038918061417;1;-485151,990623343620000;-1116126,573682118200000;-485151,896873042450000;-1116126,455260685200000
;3174;3260;0,281001737913740;1;-485151,687885002990000;-1116127,513883656100000;-485151,645446603480000;-1116127,236105041100000
;3175;3261;0,135546853793407;1;-485151,533128664130000;-1116127,959585776100000;-485151,420346864500000;-1116127,884397909700000
;3176;3262;0,148139308856548;1;-485151,456809775090000;-1116128,155899069000000;-485151,309337763810000;-1116128,169944022500000
;3177;3263;0,400331759035789;1;-485150,979170375390000;-1116128,949996185300000;-485150,680085378640000;-1116129,216104588000000
;3178;3264;0,137292665427322;1;-485150,778743289470000;-1116129,315695168500000;-485150,658188651140000;-1116129,250000000000000
;3179;3265;0,136463407376823;1;-485150,720588606550000;-1116129,397060473400000;-485150,643272864920000;-1116129,284612540400000
;3180;3266;0,129570457727781;1;-485150,193367240140000;-1116130,443608526600000;-485150,064138094720000;-1116130,434210043200000
;3181;3267;0,171768482900029;1;-485150,100687085880000;-1116131,055560265000000;-485149,956011405210000;-1116131,148152700600000
;3182;3268;0,132875165203586;1;-485150,044045115940000;-1116131,500000000000000;-485149,911169950730000;-1116131,500000000000000
